"Summary of monthly rents recorded between April 2024 to March 2025 by borough and bedroom category for London [note 1, 2, 3, 4 ,5 ,6 ,7]",,,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes that can be found within the notes worksheet.,,,,,,,,,,,,,,,
Borough,Bedroom Category,Count of rents,Mean,Lower quartile,Median,Upper quartile,,,,,,,,,
Enfield,Four or More Bedrooms, 90 ," 2,806 "," 2,400 "," 2,600 "," 3,050 ",,,,,,,,,
Greenwich,Room, 110 , 862 , 699 , 850 ," 1,025 ",,,,,,,,,
Greenwich,Studio, 40 ," 1,072 ", 923 ," 1,000 "," 1,200 ",,,,,,,,,
Greenwich,One Bedroom, 680 ," 1,545 "," 1,350 "," 1,525 "," 1,750 ",,,,,,,,,
Greenwich,Two Bedrooms," 1,000 "," 1,885 "," 1,600 "," 1,850 "," 2,100 ",,,,,,,,,
Greenwich,Three Bedrooms, 480 ," 2,203 "," 1,850 "," 2,100 "," 2,500 ",,,,,,,,,
Greenwich,Four or More Bedrooms, 120 ," 2,927 "," 2,305 "," 2,750 "," 3,300 ",,,,,,,,,
Hackney,Room, 40 , 996 , 872 , 979 ," 1,070 ",,,,,,,,,
Hackney,Studio, 40 ," 1,291 "," 1,182 "," 1,280 "," 1,300 ",,,,,,,,,
Hackney,One Bedroom, 290 ," 2,029 "," 1,700 "," 2,000 "," 2,200 ",,,,,,,,,
Hackney,Two Bedrooms, 380 ," 2,444 "," 2,000 "," 2,400 "," 2,750 ",,,,,,,,,
Hackney,Three Bedrooms, 170 ," 3,094 "," 2,525 "," 3,050 "," 3,475 ",,,,,,,,,
Hackney,Four or More Bedrooms, 50 ," 4,244 "," 3,561 "," 3,938 "," 4,913 ",,,,,,,,,
Hammersmith and Fulham,Room, 40 ," 1,023 ", 904 ," 1,026 "," 1,160 ",,,,,,,,,
Hammersmith and Fulham,Studio, 50 ," 1,622 "," 1,409 "," 1,538 "," 1,700 ",,,,,,,,,
Hammersmith and Fulham,One Bedroom, 420 ," 1,962 "," 1,650 "," 1,869 "," 2,200 ",,,,,,,,,
Hammersmith and Fulham,Two Bedrooms, 530 ," 2,644 "," 2,100 "," 2,500 "," 3,025 ",,,,,,,,,
Hammersmith and Fulham,Three Bedrooms, 160 ," 3,348 "," 2,688 "," 3,250 "," 3,750 ",,,,,,,,,
Hammersmith and Fulham,Four or More Bedrooms, 80 ," 5,029 "," 3,900 "," 4,500 "," 5,775 ",,,,,,,,,
Haringey,Room, 30 , 760 , 676 , 726 , 798 ,,,,,,,,,
Haringey,Studio, 40 ," 1,109 ", 995 ," 1,083 "," 1,200 ",,,,,,,,,
Haringey,One Bedroom, 290 ," 1,615 "," 1,400 "," 1,600 "," 1,750 ",,,,,,,,,
Haringey,Two Bedrooms, 430 ," 2,015 "," 1,750 "," 1,950 "," 2,200 ",,,,,,,,,
Haringey,Three Bedrooms, 180 ," 2,491 "," 2,050 "," 2,413 "," 2,800 ",,,,,,,,,
Haringey,Four or More Bedrooms, 110 ," 3,609 "," 2,900 "," 3,300 "," 4,059 ",,,,,,,,,
Harrow,Room, 30 , 766 , 676 , 776 , 870 ,,,,,,,,,
Harrow,Studio, 50 ," 1,175 "," 1,000 "," 1,200 "," 1,400 ",,,,,,,,,
Harrow,One Bedroom, 310 ," 1,383 "," 1,259 "," 1,400 "," 1,500 ",,,,,,,,,
Harrow,Two Bedrooms, 580 ," 1,689 "," 1,550 "," 1,650 "," 1,800 ",,,,,,,,,
Harrow,Three Bedrooms, 360 ," 2,160 "," 1,900 "," 2,125 "," 2,300 ",,,,,,,,,
Harrow,Four or More Bedrooms, 140 ," 2,884 "," 2,500 "," 2,725 "," 3,034 ",,,,,,,,,
Havering,Room, 10 , 803 , .. , 801 , .. ,,,,,,,,,
Havering,Studio, 10 , 928 , .. , 900 , .. ,,,,,,,,,
Havering,One Bedroom, 250 ," 1,228 "," 1,100 "," 1,250 "," 1,350 ",,,,,,,,,
Havering,Two Bedrooms, 360 ," 1,513 "," 1,350 "," 1,500 "," 1,650 ",,,,,,,,,
Havering,Three Bedrooms, 250 ," 1,798 "," 1,600 "," 1,800 "," 2,000 ",,,,,,,,,
Havering,Four or More Bedrooms, 60 ," 2,255 "," 1,955 "," 2,300 "," 2,500 ",,,,,,,,,
Hillingdon,Room, 80 , 657 , 559 , 676 , 726 ,,,,,,,,,
Hillingdon,Studio, 90 ," 1,035 ", 915 ," 1,000 "," 1,125 ",,,,,,,,,
Hillingdon,One Bedroom, 530 ," 1,283 "," 1,159 "," 1,300 "," 1,397 ",,,,,,,,,
Hillingdon,Two Bedrooms, 830 ," 1,597 "," 1,450 "," 1,600 "," 1,732 ",,,,,,,,,
Hillingdon,Three Bedrooms, 430 ," 1,908 "," 1,656 "," 1,900 "," 2,100 ",,,,,,,,,
Hillingdon,Four or More Bedrooms, 150 ," 2,704 "," 2,150 "," 2,550 "," 2,913 ",,,,,,,,,
Hounslow,Room, 100 , 735 , 626 , 701 , 801 ,,,,,,,,,
Hounslow,Studio, 30 ," 1,109 ", 975 ," 1,125 "," 1,200 ",,,,,,,,,
Hounslow,One Bedroom, 360 ," 1,521 "," 1,350 "," 1,500 "," 1,700 ",,,,,,,,,
Hounslow,Two Bedrooms, 500 ," 1,873 "," 1,650 "," 1,800 "," 2,021 ",,,,,,,,,
Hounslow,Three Bedrooms, 190 ," 2,423 "," 1,973 "," 2,200 "," 2,788 ",,,,,,,,,
Hounslow,Four or More Bedrooms, 90 ," 3,503 "," 2,600 "," 3,125 "," 4,000 ",,,,,,,,,
Islington,Room, 40 , 855 , 787 , 862 , 917 ,,,,,,,,,
Islington,Studio, 30 ," 1,446 "," 1,298 "," 1,400 "," 1,525 ",,,,,,,,,
Islington,One Bedroom, 490 ," 2,060 "," 1,799 "," 2,000 "," 2,250 ",,,,,,,,,
Islington,Two Bedrooms, 510 ," 2,641 "," 2,200 "," 2,550 "," 3,000 ",,,,,,,,,
Islington,Three Bedrooms, 150 ," 3,411 "," 2,750 "," 3,300 "," 3,800 ",,,,,,,,,
Islington,Four or More Bedrooms, 80 ," 4,645 "," 3,775 "," 4,500 "," 5,000 ",,,,,,,,,
Kensington and Chelsea,Room, 10 ," 1,002 ", .. , 899 , .. ,,,,,,,,,
Kensington and Chelsea,Studio, 220 ," 1,702 "," 1,517 "," 1,647 "," 1,846 ",,,,,,,,,
Kensington and Chelsea,One Bedroom, 590 ," 2,605 "," 2,065 "," 2,394 "," 2,925 ",,,,,,,,,
Kensington and Chelsea,Two Bedrooms, 790 ," 3,622 "," 2,825 "," 3,350 "," 4,099 ",,,,,,,,,
Kensington and Chelsea,Three Bedrooms, 260 ," 5,814 "," 4,220 "," 5,709 "," 6,933 ",,,,,,,,,
Kensington and Chelsea,Four or More Bedrooms, 100 ," 8,589 "," 6,662 "," 8,017 "," 10,550 ",,,,,,,,,
Kingston upon Thames,Room, 20 , 807 , 634 , 757 ," 1,026 ",,,,,,,,,
Kingston upon Thames,Studio, 10 ," 1,163 "," 1,050 "," 1,125 "," 1,300 ",,,,,,,,,
Kingston upon Thames,One Bedroom, 240 ," 1,411 "," 1,275 "," 1,400 "," 1,500 ",,,,,,,,,
Kingston upon Thames,Two Bedrooms, 370 ," 1,730 "," 1,500 "," 1,700 "," 1,900 ",,,,,,,,,
Kingston upon Thames,Three Bedrooms, 180 ," 2,360 "," 1,995 "," 2,250 "," 2,650 ",,,,,,,,,
Kingston upon Thames,Four or More Bedrooms, 80 ," 3,284 "," 2,500 "," 2,850 "," 3,300 ",,,,,,,,,
Lambeth,Room, 20 , 867 , 787 , 873 , 900 ,,,,,,,,,
Lambeth,Studio, 50 ," 1,383 "," 1,073 "," 1,270 "," 1,520 ",,,,,,,,,
Lambeth,One Bedroom, 510 ," 1,791 "," 1,500 "," 1,700 "," 2,000 ",,,,,,,,,
Lambeth,Two Bedrooms, 770 ," 2,227 "," 1,825 "," 2,150 "," 2,500 ",,,,,,,,,
Lambeth,Three Bedrooms, 300 ," 2,836 "," 2,300 "," 2,730 "," 3,200 ",,,,,,,,,
Lambeth,Four or More Bedrooms, 140 ," 4,003 "," 3,100 "," 3,650 "," 4,500 ",,,,,,,,,
Lewisham,Room, 230 , 994 , 721 , 782 , 875 ,,,,,,,,,
Lewisham,Studio, 140 ," 1,163 "," 1,050 "," 1,150 "," 1,290 ",,,,,,,,,
Lewisham,One Bedroom, 890 ," 1,434 "," 1,250 "," 1,400 "," 1,600 ",,,,,,,,,
Lewisham,Two Bedrooms," 1,210 "," 1,742 "," 1,500 "," 1,700 "," 1,900 ",,,,,,,,,
Lewisham,Three Bedrooms, 500 ," 2,163 "," 1,800 "," 2,083 "," 2,500 ",,,,,,,,,
Lewisham,Four or More Bedrooms, 190 ," 2,972 "," 2,400 "," 2,900 "," 3,400 ",,,,,,,,,
Merton,Room, 40 , 829 , 761 , 801 , 921 ,,,,,,,,,
Merton,Studio, 10 ," 1,302 "," 1,200 "," 1,350 "," 1,400 ",,,,,,,,,
Merton,One Bedroom, 240 ," 1,544 "," 1,350 "," 1,523 "," 1,700 ",,,,,,,,,
Merton,Two Bedrooms, 580 ," 1,817 "," 1,450 "," 1,750 "," 2,075 ",,,,,,,,,
Merton,Three Bedrooms, 260 ," 2,599 "," 2,138 "," 2,500 "," 3,000 ",,,,,,,,,
Merton,Four or More Bedrooms, 100 ," 3,753 "," 2,738 "," 3,350 "," 4,388 ",,,,,,,,,
Newham,Room, 110 , 733 , 620 , 726 , 852 ,,,,,,,,,
Newham,Studio, 50 ," 1,302 "," 1,125 "," 1,400 "," 1,450 ",,,,,,,,,
Newham,One Bedroom, 400 ," 1,494 "," 1,335 "," 1,500 "," 1,650 ",,,,,,,,,
Newham,Two Bedrooms, 610 ," 1,775 "," 1,500 "," 1,750 "," 2,000 ",,,,,,,,,
